question_id,topic,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,difficulty_level
Q0001,Addition,What is the answer when 146 + 169 + 646 = ?,961,1061,971,951,861,A,easy
Q0002,Addition,What is the value of 303 + 750 + 261?,1314,1414,1324,1214,1304,A,easy
Q0003,Addition,What is the value of 271 + 717 + 947?,1935,1835,1945,1925,2035,A,easy
Q0004,Addition,What is the value of 384 + 853 + 959?,2186,2196,2296,2096,2206,B,easy
Q0005,Addition,What is the value of 111 + 490 + 546?,1137,1147,1047,1247,1157,B,easy
Q0006,Addition,What is the value of 447 + 617 + 107?,1271,1171,1181,1071,1161,B,easy
Q0007,Addition,What is the value of 961 + 181 + 498?,1650,1640,1540,1630,1740,B,easy
Q0008,Addition,What is the value of 234 + 567 + 891?,1792,1692,1682,1592,1702,B,easy
Q0009,Addition,What is the value of 345 + 678 + 912?,1935,1835,2035,1945,1925,A,easy
Q0010,Addition,What is the value of 456 + 789 + 123?,1368,1468,1268,1358,1378,A,easy
Q0011,Addition,What is the value of 567 + 890 + 234?,1681,1691,1791,1701,1591,B,easy
Q0012,Addition,What is the value of 678 + 901 + 345?,2024,1934,1924,1914,1824,C,easy
Q0013,Addition,What is the value of 789 + 123 + 456?,1268,1378,1468,1368,1358,D,easy
Q0014,Addition,What is the value of 890 + 234 + 567?,1681,1691,1701,1591,1791,B,easy
Q0015,Addition,What is the value of 901 + 345 + 678?,2024,1824,1924,1914,1934,C,easy
Q0016,Addition,What is the value of 112 + 345 + 789?,1346,1146,1246,1236,1256,C,easy
Q0017,Addition,What is the value of 223 + 456 + 890?,1569,1579,1669,1559,1469,A,easy
Q0018,Addition,What is the value of 334 + 567 + 901?,1802,1702,1792,1812,1902,A,easy
Q0019,Addition,What is the value of 445 + 678 + 123?,1256,1246,1146,1346,1236,B,easy
Q0020,Addition,What is the value of 556 + 789 + 234?,1569,1589,1479,1579,1679,D,easy
Q0021,Addition,What is the value of 667 + 890 + 345?,1912,2002,1802,1892,1902,E,easy
Q0022,Addition,What is the value of 778 + 901 + 456?,2035,2235,2135,2125,2145,C,easy
